"fid","date.x","time","lat","long","date.y","maxave","minave","totals","vprph09","vprph15"
1,"9/4/2011","0:01:05",-36.273389,147.277047,"2011-04-09",24.3155555725098,8.77999973297119,0,12.5651111602783,14.0291109085083
1,"9/4/2011","0:01:05",-36.273389,147.277047,"2011-04-10",15.9022226333618,9.56555557250977,13.6777772903442,12.2006664276123,10.8691110610962
1,"9/4/2011","0:01:05",-36.273389,147.277047,"2011-04-11",14.2211112976074,4.79333353042603,3.64444446563721,10.3528890609741,9.65244483947754
1,"9/4/2011","0:01:05",-36.273389,147.277047,"2011-04-12",12.1911115646362,7.36555528640747,3.45555543899536,11.1095552444458,11.6668891906738
1,"9/4/2011","0:01:05",-36.273389,147.277047,"2011-04-13",13.7855558395386,8.33555507659912,17.7333335876465,11.2695560455322,10.7457780838013
1,"9/4/2011","0:01:05",-36.273389,147.277047,"2011-04-14",15.7344446182251,6.66888904571533,0.0555555559694767,11.4340000152588,12.0657777786255
1,"9/4/2011","0:01:05",-36.273389,147.277047,"2011-04-15",19.5399990081787,6.04666662216187,0,11.5228891372681,12.0746669769287
1,"9/4/2011","0:01:05",-36.273389,147.277047,"2011-04-16",19.6744441986084,7.59222221374512,0,10.4262218475342,10.0457773208618
2,"9/4/2011","0:31:05",-36.273361,147.277056,"2011-04-09",24.3155555725098,8.77999973297119,0,12.5651111602783,14.0291109085083
2,"9/4/2011","0:31:05",-36.273361,147.277056,"2011-04-10",15.9022226333618,9.56555557250977,13.6777772903442,12.2006664276123,10.8691110610962
2,"9/4/2011","0:31:05",-36.273361,147.277056,"2011-04-11",14.2211112976074,4.79333353042603,3.64444446563721,10.3528890609741,9.65244483947754
2,"9/4/2011","0:31:05",-36.273361,147.277056,"2011-04-12",12.1911115646362,7.36555528640747,3.45555543899536,11.1095552444458,11.6668891906738
2,"9/4/2011","0:31:05",-36.273361,147.277056,"2011-04-13",13.7855558395386,8.33555507659912,17.7333335876465,11.2695560455322,10.7457780838013
2,"9/4/2011","0:31:05",-36.273361,147.277056,"2011-04-14",15.7344446182251,6.66888904571533,0.0555555559694767,11.4340000152588,12.0657777786255
2,"9/4/2011","0:31:05",-36.273361,147.277056,"2011-04-15",19.5399990081787,6.04666662216187,0,11.5228891372681,12.0746669769287
2,"9/4/2011","0:31:05",-36.273361,147.277056,"2011-04-16",19.6744441986084,7.59222221374512,0,10.4262218475342,10.0457773208618
3,"9/4/2011","1:01:05",-36.271525,147.279917,"2011-04-09",24.3155555725098,8.77999973297119,0,12.5651111602783,14.0291109085083
3,"9/4/2011","1:01:05",-36.271525,147.279917,"2011-04-10",15.9022226333618,9.56555557250977,13.6777772903442,12.2006664276123,10.8691110610962
3,"9/4/2011","1:01:05",-36.271525,147.279917,"2011-04-11",14.2211112976074,4.79333353042603,3.64444446563721,10.3528890609741,9.65244483947754
3,"9/4/2011","1:01:05",-36.271525,147.279917,"2011-04-12",12.1911115646362,7.36555528640747,3.45555543899536,11.1095552444458,11.6668891906738
3,"9/4/2011","1:01:05",-36.271525,147.279917,"2011-04-13",13.7855558395386,8.33555507659912,17.7333335876465,11.2695560455322,10.7457780838013
3,"9/4/2011","1:01:05",-36.271525,147.279917,"2011-04-14",15.7344446182251,6.66888904571533,0.0555555559694767,11.4340000152588,12.0657777786255
3,"9/4/2011","1:01:05",-36.271525,147.279917,"2011-04-15",19.5399990081787,6.04666662216187,0,11.5228891372681,12.0746669769287
3,"9/4/2011","1:01:05",-36.271525,147.279917,"2011-04-16",19.6744441986084,7.59222221374512,0,10.4262218475342,10.0457773208618
4,"9/4/2011","1:31:05",-36.273397,147.277053,"2011-04-09",24.3155555725098,8.77999973297119,0,12.5651111602783,14.0291109085083
4,"9/4/2011","1:31:05",-36.273397,147.277053,"2011-04-10",15.9022226333618,9.56555557250977,13.6777772903442,12.2006664276123,10.8691110610962
4,"9/4/2011","1:31:05",-36.273397,147.277053,"2011-04-11",14.2211112976074,4.79333353042603,3.64444446563721,10.3528890609741,9.65244483947754
4,"9/4/2011","1:31:05",-36.273397,147.277053,"2011-04-12",12.1911115646362,7.36555528640747,3.45555543899536,11.1095552444458,11.6668891906738
4,"9/4/2011","1:31:05",-36.273397,147.277053,"2011-04-13",13.7855558395386,8.33555507659912,17.7333335876465,11.2695560455322,10.7457780838013
4,"9/4/2011","1:31:05",-36.273397,147.277053,"2011-04-14",15.7344446182251,6.66888904571533,0.0555555559694767,11.4340000152588,12.0657777786255
4,"9/4/2011","1:31:05",-36.273397,147.277053,"2011-04-15",19.5399990081787,6.04666662216187,0,11.5228891372681,12.0746669769287
4,"9/4/2011","1:31:05",-36.273397,147.277053,"2011-04-16",19.6744441986084,7.59222221374512,0,10.4262218475342,10.0457773208618
5,"9/4/2011","2:01:05",-36.273197,147.276881,"2011-04-09",24.3155555725098,8.77999973297119,0,12.5651111602783,14.0291109085083
